"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Главная страница","0","Категории","9","0","Пользователь может перейти в категорию","0"
"0","Главная страница","2","Локация пользователя","2","0","Пользователь может изменить предопределенную локацию","0"
"0","Каталог","0","Каталог смартфонов","12","0","Все бренды смартфонов должны быть представлены на странице","0"
"1","Каталог/Корзина","0","Добавление товаров в корзину","0","0","","0"
"0","Каталог","0","Корзина пользователя","10","0","Добавление товара в корзину","0"
"0","Авторизация","0","Авторизация по номеру телефона","1","0","Авторизация по номеру телефона","0"
"0","Главная страница","0","Политика обработки cookies","1","0","Политика обработки соглашения cookies","0"
"0","Главная страница","1","Категории","0","0","","0"
"0","Главная страница","2","Локация пользователя","0","0","","0"
"0","Каталог","1","Корзина пользователя","0","0","","0"
"0","Каталог/Корзина","0","Добавление товаров в корзину","4","0","Добавление товара в корзину","0"
"0","Главная страница","0","Локация пользователя","1","0","Пользователь соглашается на предвыбранную локацию","0"
"0","Корзина пользователя","0","Корзина неавторизованного пользователя","1","0","Корзина пользователя по умолчанию пуста","0"
"0","Каталог","0","Каталог на главной странице","1","0","Каталог на главной странице отображается","0"
